Year,WMA,Hunts,HarvestableSex,Does,Bucks,Hunters,TotalDeer,Link
2026,Alapaha River WMA,3,Either,42,33,675,75,https://gadnrwrd.maps.arcgis.com/apps/dashboards/2ff479b38e4c4f2894fe1b8c5a53e4b2
2026,Albany Nursery WMA,1,Either,0,3,84,3,
2026,Allatoona WMA,2,Either,23,19,408,42,
2026,Alligator Creek WMA,2,Either,1,1,42,2,
2026,Altama Plantation WMA,1,Either,1,0,23,1,
2026,"Altamaha WMA - Buffalo Swamp, Lewis Island, and McGowan Lake Tracts",2,Either,2,1,44,3,
2026,B.F. Grant WMA,3,Either,39,57,569,96,
2026,Beaverdam WMA,4,Either,39,44,417,83,
2026,Berry College WMA,2,Either,34,111,853,145,
2026,Blue Ridge WMA,2,Antlered,1,16,181,17,
2026,Broad River WMA,1,Either,7,15,194,22,
2026,Buck Shoals WMA,2,Either,7,5,22,12,
2026,Carters Lake WMA,2,Either,3,5,26,8,
2026,Cedar Creek WMA,3,Either,232,506,1856,738,
2026,Ceylon WMA,2,Either,14,12,92,26,
2026,Chattahoochee WMA,3,Antlered,0,12,292,12,
2026,Chestatee WMA,2,Antlered,0,3,156,3,
2026,Chickasawhatchee WMA,2,Either,50,26,265,76,
2026,Clarks Hill WMA - East,3,Either,66,76,629,142,
2026,Clayhole Swamp WMA,3,Either,21,5,175,26,
2026,Clybel WMA,7,Either,37,47,563,84,
2026,Cochrans Creek WMA,2,Either,0,3,35,3,
2026,Cohutta WMA,1,Antlered,0,7,528,7,
2026,Coopers Creek WMA,4,Antlered,0,78,698,78,
2026,Coosawattee WMA,2,Either,14,13,138,27,
2026,Crockford-Pigeon Mountain WMA,2,Either,20,95,706,115,
2026,Dawson Forest WMA,2,Either,7,61,847,68,
2026,Di-Lane Plantation WMA,3,Either,64,38,406,102,
2026,Dixon Bay WMA,1,Either,0,1,29,1,
2026,Dixon Memorial WMA,5,Either,39,50,637,89,
2026,Don Carter State Park,1,Either,39,21,38,60,
2026,Dukes Creek - Smithgall Woods State Park,2,Antlered,0,15,178,15,
2026,Elbert County WMA,2,Either,5,2,83,7,
2026,Flat Tub WMA ,2,Either,93,53,595,146,
2026,Fort Yargo State Park,1,Either,27,22,51,49,
2026,Gaither WMA,2,Either,3,0,21,3,
2026,Grand Bay WMA,8,Either,5,18,215,23,
2026,Griffen Bay WMA,2,Either,4,5,74,9,
2026,Hannahatchee WMA ,1,Either,0,1,95,1,
2026,Hart County WMA,4,Either,9,26,231,35,
2026,Hiltonia WMA,1,Either,0,0,32,0,
2026,Horse Creek MWA ,2,Either,47,76,246,123,
2026,J.L. Lester WMA,1,Either,5,5,20,10,
2026,Joe Kurz WMA,3,Either,40,39,780,79,
2026,Johns Mountain WMA,2,Either,7,49,478,56,
2026,Lake Russell WMA,3,Either,15,123,1128,138,
2026,Lake Seminole WMA,1,Either,1,1,8,2,
2026,Lanahassee WMA,1,Either,0,0,26,0,
2026,Little River WMA,2,Either,0,0,32,0,
2026,Little Satilla WMA ,2,Either,17,10,142,27,
2026,Lola Tract VPA,1,Either,0,0,22,0,
2026,Mayhaw WMA ,2,Either,19,8,81,27,
2026,Oaky Woods WMA,3,EIther,35,52,326,87,
2026,Ocmulgee WMA,3,Either,34,151,185,647,
2026,Oconee WMA,2,Either,61,74,427,135,
2026,Ohoopee Dunes WMA - North Tract ,1,Either,23,58,90,81,
2026,Oliver Bridge WMA,2,Either,0,2,128,2,
2026,Ossabaw Island WMA,4,Either,37,54,210,91,
2026,Panola Mountain State Park,2,Either,80,42,88,122,
2026,Paulding Forest WMA,2,Either,9,143,1004,152,
2026,Paulks Pasture WMA,4,Either,28,27,307,55,
2026,Penholoway Swamp WMA,3,Either,17,31,316,48,
2026,Pleasant Valley VPA,2,Either,2,2,44,4,
2026,Red Top Mountain State Park ,1,Either,23,20,47,43,
2026,Redlands WMA,4,Either,179,214,2049,393,
2026,Redlands WMA - Watson Spring Area,1,Either,2,2,45,4,
2026,Rich Mountain WMA,1,Antlered,0,62,402,62,
2026,Richard B. Russell State Park,1,Either,15,14,38,29,
2026,Richmond Hill WMA,2,Either,4,6,71,10,
2026,River Bend WMA,1,Either,7,30,112,37,
2026,"River Creek, The Rolf and Alexandra Kauka WMA",2,Either,1,1,90,2,
2026,Rum Creek WMA,4,Either,46,74,423,120,
2026,Sandhills WMA - West ,1,Either,0,0,12,0,
2026,Sansavilla WMA,3,Either,20,72,529,92,
2026,Sapelo Island WMA,4,Either,40,55,201,95,
2026,Swallow Creek WMA,2,Antlered,0,12,107,12,
2026,Tallapoosa River WMA,1,Either,2,5,50,7,
2026,Tallulah George WMA,2,Antlered,0,0,34,0,
2026,Townsend WMA - Buck Island Tract,2,Either,4,1,54,5,
2026,"Townsend WMA  - North, South, and Pine Island Tracts",4,Either,18,37,333,55,
2026,Treat Mountain WMA,1,Antlered,2,1,62,3,
2026,Tuckahoe WMA,3,Either,31,68,722,99,
2026,Tugaloo State Park ,1,Either,7,7,29,14,
2026,Warwoman WMA,2,Antlered,0,4,102,4,
2026,West Point WMA,4,Either,16,37,860,53,
2026,Wilson Shoals WMA,2,Either,15,28,647,43,
2026,Yuchi WMA,3,Either,14,18,252,32,
2025,Alapaha River WMA,4,Either,25,57,550,82,
2025,Albany Nursery WMA,2,Either,1,0,14,1,
2025,Alexander WMA,2,Either,29,16,315,45,
2025,Allatoona WMA,4,Either,80,103,1420,183,
2025,Alligator Creek WMA,1,Either,0,0,39,0,
2025,Altama Plantation WMA,4,Either,11,11,143,22,
2025,"Altamaha WMA - Buffalo Swamp, Lewis Island, and McGowan Lake Tracts",2,Either,9,11,271,20,
2025,Altamaha WMA - Waterfowl Management Area,1,Either,0,0,15,0,
2025,Arrowhead,1,Either,0,0,25,0,
2025,B.F. Grant WMA,4,Either,44,70,645,114,
2025,Balls Ferry State Park,2,Either,1,1,27,2,
2025,Bartam Forest,1,Either,8,9,62,17,
2025,Beaverdam WMA,5,Either,21,48,314,69,
2025,Berry College WMA,4,Either,45,119,1337,164,
2025,Big Dukes Pond WMA,3,Either,8,10,225,18,
2025,Big Hammock WMA,3,Either,7,5,264,12,
2025,Big Lazer Creek WMA,5,Either,37,64,598,101,
2025,Blanton Creek,4,Either,21,39,458,60,
2025,Blue Ridge WMA,4,Antlered,0,24,495,24,
2025,Broad River WMA,1,Either,2,1,192,3,
2025,Buck Shoals WMA,3,Either,8,8,30,16,
2025,Bullard Creek WMA,6,Either,100,98,618,198,
2025,Bullard Creek WMA - Bell Telephone Tract,1,Either,0,1,32,1,
2025,Bullard Creek WMA - Montgomery Tract ,1,Either,2,0,51,2,
2025,Bullard Creek WMA - Ocmulgee Tract,1,Either,3,3,36,6,
2025,Camp Thunder VPA,1,Either,7,11,136,18,
2025,Canoochee Sandhills WMA,4,Either,7,13,218,20,
2025,Carters Lake WMA,3,Either,27,24,421,51,
2025,Cedar Creek WMA,5,Either,169,476,2202,645,
2025,Cedar Grove VPA,1,Either,1,3,67,4,
2025,Ceylon WMA,4,Either,36,27,607,63,
2025,Chattahoochee Fall Line WMA - Almo,2,Either,10,24,163,34,
2025,Chattahoochee Fall Line WMA - Fort Perry,3,Either,1,2,36,3,
2025,Chattahoochee Fall Line WMA - Hilliard,6,Either,35,35,319,70,
2025,Chattahoochee Fall Line WMA - VPA Tracts,1,Either,1,2,247,3,
2025,Chattahoochee WMA,4,Antlered,0,20,388,20,
2025,Chestatee WMA,4,Antlered,0,37,445,37,
2025,Chickasawhatchee WMA,6,Either,77,190,735,267,
2025,Clarks Hill WMA - East,4,Either,37,77,940,114,
2025,Clarks Hill WMA - West,3,Either,3,5,338,8,
2025,Clayhole Swamp WMA,5,Either,23,10,259,33,
2025,Clybel WMA,7,Either,44,93,510,137,
2025,Cochrans Creek WMA,5,Either,0,0,86,0,
2025,Cohutta WMA,3,Antlered,0,59,1555,59,
2025,Conasauga River WMA,1,Either,10,4,278,14,
2025,Coopers Creek WMA,5,Antlered,0,79,752,79,
2025,Coosawattee WMA,3,Either,60,56,988,116,
2025,Crockford-Pigeon Mountain WMA,4,Either,87,236,1976,323,
2025,Dawson Forest WMA,5,Either,45,90,2119,135,
2025,Di-Lane Plantation WMA,4,Either,67,55,656,122,
2025,Dixon Bay WMA,2,Either,2,1,59,3,
2025,Dixon Memorial WMA,8,Either,31,40,746,71,
2025,Don Carter State Park,1,Either,49,28,36,77,
2025,Dukes Creek - Smithgall Woods State Park,4,Antlered,0,14,193,14,
2025,Echeconnee Creek WMA,1,Either,0,1,59,1,
2025,Elbert County WMA,3,Either,16,19,370,35,
2025,F.D. Roosevelt State Park,1,Either,20,18,65,38,
2025,Fishing Creek WMA,3,Either,7,5,262,12,
2025,Flat Creek PFA,1,Either,6,10,109,16,
2025,Flat Tub WMA ,4,Either,19,33,425,52,
2025,Flint River WMA,4,EIther,37,29,271,66,
2025,Fort Yargo State Park,1,Either,5,11,N/A,16,
2025,Gaither WMA,4,Either,7,11,136,18,
2025,Germany Creek WMA,3,Either,9,9,158,18,
2025,Grand Bay WMA,5,Either,8,15,187,23,
2025,Griffen Bay WMA,4,Either,1,6,279,7,
2025,Hart County WMA,4,Either,11,22,234,33,
2025,Hiltonia WMA,2,Either,0,0,63,0,
2025,Horse Creek MWA ,6,Either,33,57,400,90,
2025,J.L. Lester WMA,3,Either,11,4,120,15,
2025,Joe Kurz WMA,3,Either,31,36,505,67,
2025,Johns Mountain WMA,4,Either,9,60,1017,69,
2025,Keg Creek,1,Either,3,6,162,9,
2025,Lake Russell WMA,5,Either,24,135,1083,159,
2025,Lake Seminole WMA,1,Either,0,0,0,0,
2025,Lanahassee WMA,5,Either,48,43,230,91,
2025,Little River WMA,2,Either,13,10,236,23,
2025,Little Satilla WMA ,3,Either,64,31,541,95,
2025,Lola Tract VPA,2,Either,0,2,66,2,
2025,Lower Broad River WMA,3,Either,14,20,187,34,
2025,Mayhaw WMA ,3,Either,11,37,284,48,
2025,McGraw Ford WMA,1,Either,19,23,748,42,
2025,Mead Farm WMA,1,Either,0,10,14,10,
2025,Moody Forest WMA,1,Either,33,24,212,57,
2025,Morgan Lake WMA,1,Either,1,0,19,1,
2025,Oaky Woods WMA,5,Either,62,108,687,170,
2025,Ocmulgee WMA,3,Either,18,39,335,57,
2025,Ocmulgee WMA - Gum Swamp Creek,1,Either,3,4,95,7,
2025,Oconee WMA,3,Either,50,69,772,119,
2025,Oconee WMA - Dan Denton Waterfowl Area,1,Either,0,0,53,0,
2025,Ohoopee Dunes WMA - North Tract ,3,Either,15,37,162,52,
2025,Ohoopee Dunes WMA - South Tract ,1,Either,2,2,129,4,
2025,Oliver Bridge WMA,2,Either,7,11,463,18,
2025,Ossabaw Island WMA,5,Either,46,73,315,119,
2025,Otting WMA,1,Either,5,1,105,6,
2025,Panola Mountain State Park,1,Either,18,27,48,45,
2025,Paulding Forest WMA,4,Either,43,182,2525,225,
2025,Paulks Pasture WMA,8,Either,54,74,633,128,
2025,Penholoway Swamp WMA,4,Either,27,28,347,55,
2025,Perry Dove Field ,1,Either,1,0,37,1,
2025,Phinizy Swamp WMA,1,Either,4,0,54,4,
2025,Pleasant Valley VPA,2,Either,1,0,26,1,
2025,Red Top Mountain State Park ,1,Either,15,23,N/A,38,
2025,Redlands WMA,5,Either,210,209,2148,419,
2025,Redlands WMA - Watson Spring Area,1,Either,2,0,120,2,
2025,Rich Mountain WMA,2,Either,2,60,604,62,
2025,Rich Mountain WMA - Cartecay,1,Either,6,8,252,14,
2025,Richard B. Russell State Park,1,Either,7,6,35,13,
2025,Richmond Hill WMA,3,Either,33,24,437,57,
2025,River Bend WMA,2,Either,2,1,85,3,
2025,"River Creek, The Rolf and Alexandra Kauka WMA",2,Either,1,2,106,3,
2025,Rogers WMA,1,Either,2,0,8,2,
2025,Rum Creek WMA,4,Either,25,62,404,87,
2025,Rum Creek WMA - Berry Creek,1,Either,2,2,49,4,
2025,Sansavilla WMA,6,Either,61,79,773,140,
2025,Sapelo Island WMA,5,Either,42,51,116,93,
2025,Scotland Road VPA,1,Either,1,0,21,1,
2025,Sheffield WMA,1,Either,8,14,705,22,
2025,Silver Lake WMA,4,Either,44,20,310,64,
2025,Soap Creek WMA,3,Either,5,8,140,13,
2025,Sparks Cut Off VPA,1,Either,3,0,62,3,
2025,Spirit Creek Forest WMA,1,Either,2,2,152,4,
2025,Sprewell Bluff WMA - West,2,Either,6,5,643,11,
2025,Standing Boy State Park,1,Either,3,2,28,5,
2025,Swallow Creek WMA,4,Antlered,0,23,291,23,
2025,Tallapoosa River WMA,4,Either,6,7,105,13,
2025,Tallulah George WMA,3,Antlered,0,3,195,3,
2025,Townsend WMA - Buck Island Tract,3,Either,8,4,203,12,
2025,"Townsend WMA  - North, South, and Pine Island Tracts",7,Either,36,34,480,70,
2025,Treat Mountain WMA,4,Either,8,21,247,29,
2025,Tuckahoe WMA,3,Either,12,22,247,34,
2025,Tugaloo State Park ,1,Either,5,9,32,14,
2025,Warwoman WMA,3,Antlered,0,30,288,30,
2025,West Point WMA,5,Either,29,43,882,72,
2025,West Point WMA - Dixie Creek,1,Either,8,3,119,11,
2025,West Point WMA - Glover Creek,1,Either,0,0,61,0,
2025,Wilson Shoals WMA,3,Either,11,23,605,34,
2025,Yuchi WMA,8,Either,20,68,641,88,
2025,Zahnd WMA,1,Either,8,5,124,13,
2024,Alapaha River WMA,5,Either,38,54,770,92,
2024,Albany Nursery WMA,3,Either,3,1,54,4,
2024,Alexander WMA,3,Either,21,18,221,39,
2024,Allatoona WMA,4,Either,158,163,1365,321,
2024,Alligator Creek WMA,3,Either,13,10,254,23,
2024,Altama Plantation WMA,5,Either,6,9,103,15,
2024,"Altamaha WMA - Buffalo Swamp, Lewis Island, and McGowan Lake Tracts",3,Either,10,7,263,17,
2024,Altamaha WMA - Waterfowl Management Area,1,Either,0,1,41,1,
2024,Arrowhead,3,Either,3,0,58,3,
2024,B.F. Grant WMA,5,Either,72,90,741,162,
2024,Balls Ferry State Park,3,Either,0,0,14,0,
2024,Bartam Forest,1,Either,15,17,85,32,
2024,Beaverdam WMA,6,Either,30,55,329,85,
2024,Berry College WMA,4,Either,51,169,1542,220,
2024,Big Hammock WMA,5,Either,20,13,434,33,
2024,Big Lazer Creek WMA,5,Either,26,34,675,60,
2024,Blanton Creek,6,Either,33,30,466,63,
2024,Blue Ridge WMA,4,Either,1,48,667,49,
2024,Broad River WMA,1,Either,6,5,176,11,
2024,Buck Shoals WMA,2,Either,3,6,18,9,
2024,Bullard Creek WMA,7,Either,129,134,939,263,
2024,Bullard Creek WMA - Bell Telephone Tract,1,Either,5,1,65,6,
2024,Bullard Creek WMA - Montgomery Tract ,1,Either,4,0,66,4,
2024,Bullard Creek WMA - Ocmulgee Tract,1,Either,7,6,91,13,
2024,Camp Thunder VPA,1,Either,6,5,99,11,
2024,Canoochee Sandhills WMA,4,Either,11,15,221,26,
2024,Carters Lake WMA,5,Either,27,19,295,46,
2024,Cedar Creek WMA,6,Either,124,426,2445,550,
2024,Cedar Grove VPA,1,Either,3,1,46,4,
2024,Ceylon WMA,5,Either,60,37,545,97,
2024,Charles B. Henson VPA,1,Either,12,9,168,21,
2024,Chattahoochee Fall Line WMA - Almo,4,Either,16,30,201,46,
2024,Chattahoochee Fall Line WMA - Fort Perry,1,Either,3,2,171,5,
2024,Chattahoochee Fall Line WMA - Hilliard,7,Either,40,25,326,65,
2024,Chattahoochee Fall Line WMA - VPA Tracts,1,Either,4,6,198,10,
2024,Chattahoochee WMA,5,Antlered,0,19,659,19,
2024,Chestatee WMA,6,Antlered,0,29,637,29,
2024,Chickasawhatchee WMA,7,Either,104,158,594,262,
2024,Clarks Hill WMA - East,4,Either,52,54,451,106,
2024,Clarks Hill WMA - West,3,Either,0,0,472,0,
2024,Clayhole Swamp WMA,7,Either,15,4,280,19,
2024,Clybel WMA,8,Either,42,85,559,127,
2024,Cohutta WMA,5,Antlered,0,38,1681,38,
2024,Conasauga River WMA,1,Either,3,8,392,11,
2024,Coopers Creek WMA,6,Antlered,0,57,826,57,
2024,Coosawattee WMA,5,Either,50,45,533,95,
2024,Crockford-Pigeon Mountain WMA,7,Either,68,214,1899,282,
2024,Dawson Forest WMA,6,Either,30,97,2954,127,
2024,Di-Lane Plantation WMA,4,Either,66,67,638,133,
2024,Dixon Bay WMA,2,Either,3,1,42,4,
2024,Dixon Memorial WMA,11,Either,64,63,1088,127,
2024,Dodge County PFA,1,Either,1,2,31,3,
2024,Doerun Pitcherplant Bog WMA,1,Either,7,4,122,11,
2024,Don Carter State Park,1,Either,58,39,47,97,
2024,Dukes Creek - Smithgall Woods State Park,4,Antlered,0,8,196,8,
2024,Dupoont Tract VPA,3,Either,1,2,4,3,
2024,Echeconnee Creek WMA,1,Either,4,7,49,11,
2024,Elbert County WMA,4,Either,25,30,581,55,
2024,Elmodel WMA,1,Either,12,14,160,26,
2024,Fishing Creek WMA,3,Either,11,12,160,23,
2024,Flat Creek PFA,1,Either,6,12,92,18,
2024,Flat Tub WMA ,5,Either,22,27,533,49,
2024,Flint River WMA,5,Either,30,33,211,63,
2024,Fort Yargo State Park,1,Either,16,21,47,37,
2024,Gaither WMA,6,Either,13,14,148,27,
2024,Germany Creek WMA,3,Either,10,9,112,19,
2024,Grand Bay WMA,5,Either,6,16,225,22,
2024,Griffen Bay WMA,5,Either,7,11,436,18,
2024,Hannahatchee WMA,3,Either,52,49,608,101,
2024,Hard Labor Creek State Park,1,Either,55,69,130,124,
2024,Hart County WMA,4,Either,4,17,232,21,
2024,Hiltonia WMA,2,Either,2,0,92,2,
2024,Horse Creek MWA ,9,Either,42,62,548,104,
2024,J.L. Lester WMA,4,Either,12,11,159,23,
2024,Joe Kurz WMA,4,Either,43,40,587,83,
2024,Johns Mountain WMA,6,Either,7,53,772,60,
2024,Keg Creek,1,Either,3,1,159,4,
2024,Lake Russell WMA,5,Either,14,142,1472,156,
2024,Lake Seminole WMA,3,Either,3,2,112,5,
2024,Lake Walter F. George WMA,1,Either,2,1,41,3,
2024,Lanahassee WMA,6,Either,43,34,269,77,
2024,Little River WMA,3,Either,6,7,231,13,
2024,Little Satilla WMA ,3,Either,75,33,893,108,
