Year,Zone,WMA,Acreage,AntlerCriteria,Total Harvest,Buck,Doe,ManDays,Acres/Deer,Acres/Buck,Acres/Doe
2019,Delta,Lake George,8383,15/18,92,42,50,2161,91.11956522,199.5952381,167.66
2019,Delta,Leroy Percy,1642,12/15,8,5,3,387,205.25,328.4,547.3333333
2019,Delta,Mahannah,12675,16/20,102,32,70,644,124.2647059,396.09375,181.0714286
2019,Delta,O'Keefe,5914,16/20,59,25,34,1168,100.2372881,236.56,173.9411765
2019,Delta,Sky Lake,4306,15/18,10,5,5,201,430.6,861.2,861.2
2019,Delta,Shipland,1800,15/18,6,3,3,436,300,600,600
2019,Delta,Stoneville,2500,12/15,17,8,9,865,147.0588235,312.5,277.7777778
2019,Delta,Sunflower,58480,15/18,90,75,15,6079,649.7777778,779.7333333,3898.666667
2019,Delta,Twin Oaks,5675,16/20,43,8,35,666,131.9767442,709.375,162.1428571
2019,East Central,Black Prarie,6001,15/18,44,15,29,364,136.3863636,400.0666667,206.9310345
2019,East Central,Choctaw,24314,10/13,27,25,2,1494,900.5185185,972.56,12157
2019,East Central,John Starr,8244,10/13,22,14,8,924,374.7272727,588.8571429,1030.5
2019,East Central,Nanih Waiya,8040,10/13,47,22,25,928,171.0638298,365.4545455,321.6
2019,East Central,Okatibbee,6883,10/13,27,13,14,589,254.9259259,529.4615385,491.6428571
2019,East Central,Trim Cane,891,10/13,1,0,1,11,891,0,891
2019,East Central,Yockanookany,2379,12/15,12,7,5,207,198.25,339.8571429,475.8
2019,North East,Canal Section,29672,12/15,52,31,21,3865,570.6153846,957.1612903,1412.952381
2019,North East,Chickasaw,26815,10/13,45,44,1,2974,595.8888889,609.4318182,26815
2019,North East,Divide Section,15337,12/15,28,10,18,1497,547.75,1533.7,852.0555556
2019,North East,Hell Creek,2344,12/15,12,2,10,156,195.3333333,1172,234.4
2019,North East,John Bell Williams,3198,12/15,6,3,3,317,533,1066,1066
2019,North East,Tuscumbia,2693,10/13,2,1,1,273,1346.5,2693,2693
2019,North West,Calhoun County,7545,10/13,4,4,0,935,1886.25,1886.25,0
2019,North West,Charles Ray Nix,3812,15/18,63,16,47,884,60.50793651,238.25,81.10638298
2019,North West,Cossar State Park,604,10/13,4,1,201,36,151,604,3.004975124
2019,North West,Malmaison,9953,15/18,61,15,46,1930,163.1639344,663.5333333,216.3695652
2019,North West,Sardis Waterfowl,2480,0,25,11,14,81,99.2,225.4545455,177.1428571
2019,North West,Upper Sardis,50485,10/13,26,24,2,2683,1941.730769,2103.541667,25242.5
2019,South East,Chickasawhay,30000,10/13,22,19,3,2258,1363.636364,1578.947368,10000
2019,South East,Leaf River,41411,12/15,118,77,41,5712,350.940678,537.8051948,1010.02439
2019,South East,Little Biloxi,14540,10/13,39,33,6,2688,372.8205128,440.6060606,2423.333333
2019,South East,Mason Creek,28000,10/13,3,3,0,1097,9333.333333,9333.333333,0
2019,South East,Old River,13000,10/13,26,12,14,1285,500,1083.333333,928.5714286
2019,South East,Pascagoula River,37415,10/13,36,29,7,3585,1039.305556,1290.172414,5345
2019,South East,Red Creek,22954,10/13,1,1,0,1204,22954,22954,0
2019,South East,Theodore A. Mars Jr.,900,0,1,0,1,49,900,0,900
2019,South East,Ward Bayou,13234,10/13,5,4,1,1030,2646.8,3308.5,13234
2019,South East,Wolf River,10881,10/13,41,31,10,1828,265.3902439,351,1088.1
2019,South West,Bienville,26136,12/15,61,55,6,1927,428.4590164,475.2,4356
2019,South West,Canemount,3500,16/20,62,264,36,668,56.4516129,13.25757576,97.22222222
2019,South West,Caney Creek,28000,12/15,49,42,7,1843,571.4285714,666.6666667,4000
2019,South West,Caston Creek,27785,10/13,28,28,0,3108,992.3214286,992.3214286,0
2019,South West,Copiah County,6811,12/15,84,44,40,2255,81.08333333,154.7954545,170.275
2019,South West,Marion County,7125,12/15,48,20,28,1630,148.4375,356.25,254.4642857
2019,South West,Natchez State Park,2457,12/15,40,13,27,529,61.425,189,91
2019,South West,Pearl River,6925,10/13,27,14,13,922,256.4814815,494.6428571,532.6923077
2019,South West,Sandy Creek,16407,10/13,32,29,3,2478,512.71875,565.7586207,5469
2019,South West,Tallahala,28120,12/15,30,27,3,1853,937.3333333,1041.481481,9373.333333
2020,Delta,Lake George,8383,15/18,38,28,10,759,220.6052632,299.3928571,838.3
2020,Delta,Leroy Percy,1642,12/15,13,9,4,292,126.3076923,182.4444444,410.5
2020,Delta,Mahannah,12675,16/20,40,19,21,678,316.875,667.1052632,603.5714286
2020,Delta,O'Keefe,5914,16/20,40,25,15,938,147.85,236.56,394.2666667
2020,Delta,Phil Bryant,17860,16/20,48,25,23,184,372.0833333,714.4,776.5217391
2020,Delta,Sky Lake,4306,15/18,25,9,16,172,89.70833333,478.4444444,269.125
2020,Delta,Shipland,1800,15/18,4,2,2,214,72,900,900
2020,Delta,Stoneville,2500,12/15,13,10,3,368,625,250,833.3333333
2020,Delta,Sunflower,58480,15/18,49,39,10,1563,4498.461538,1499.487179,5848
2020,Delta,Twin Oaks,5675,16/20,17,4,13,252,115.8163265,1418.75,436.5384615
2020,East Central,Black Prarie,6001,15/18,61,25,36,371,353,240.04,166.6944444
2020,East Central,Choctaw,24314,10/13,48,34,14,979,398.5901639,715.1176471,1736.714286
2020,East Central,John Starr,8244,10/13,22,19,3,722,171.75,433.8947368,2748
2020,East Central,Nanih Waiya,8040,10/13,42,14,28,481,365.4545455,574.2857143,287.1428571
2020,East Central,Okatibbee,6883,10/13,22,12,10,488,163.8809524,573.5833333,688.3
2020,East Central,Trim Cane,891,10/13,2,2,0,4,40.5,445.5,0
2020,East Central,Yockanookany,2379,12/15,7,3,4,111,1189.5,793,594.75
2020,North East,Canal Section,29672,12/15,27,16,11,2353,4238.857143,1854.5,2697.454545
2020,North East,Chickasaw,26815,10/13,36,29,7,1928,993.1481481,924.6551724,3830.714286
2020,North East,Divide Section,15337,12/15,21,7,14,929,426.0277778,2191,1095.5
2020,North East,Hell Creek,2344,12/15,26,3,23,194,111.6190476,781.3333333,101.9130435
2020,North East,John Bell Williams,3198,12/15,3,1,2,290,123,3198,1599
2020,North East,Tuscumbia,2693,10/13,4,2,2,152,897.6666667,1346.5,1346.5
2020,North West,Calhoun County,7545,10/13,15,3,12,404,1886.25,2515,628.75
2020,North West,Charles Ray Nix,3812,15/18,54,22,32,634,254.1333333,173.2727273,119.125
2020,North West,Cossar State Park,604,10/13,4,1,3,13,11.18518519,604,201.3333333
2020,North West,Malmaison,9953,15/18,53,26,27,1349,2488.25,382.8076923,368.6296296
2020,North West,Sardis Waterfowl,2480,0,23,11,12,56,46.79245283,225.4545455,206.6666667
2020,North West,Upper Sardis,50485,10/13,54,35,19,2521,2195,1442.428571,2657.105263
2020,South East,Chickasawhay,30000,10/13,28,18,10,1227,555.5555556,1666.666667,3000
2020,South East,Leaf River,41411,12/15,176,94,82,3324,1478.964286,440.5425532,505.0121951
2020,South East,Little Biloxi,14540,10/13,51,31,20,2239,82.61363636,469.0322581,727
2020,South East,Mason Creek,28000,10/13,3,3,0,368,549.0196078,9333.333333,0
2020,South East,Old River,13000,10/13,16,9,7,747,4333.333333,1444.444444,1857.142857
2020,South East,Pascagoula River,37415,10/13,26,19,7,1740,2338.4375,1969.210526,5345
2020,South East,Red Creek,22954,10/13,5,2,3,620,882.8461538,11477,7651.333333
2020,South East,Theodore A. Mars Jr.,900,0,0,0,0,23,180,0,0
2020,South East,Ward Bayou,13234,10/13,5,3,2,547,0,4411.333333,6617
2020,South East,Wolf River,10881,10/13,34,19,15,1243,2176.2,572.6842105,725.4
2020,South West,Bienville,26136,12/15,32,23,9,1481,768.7058824,1136.347826,2904
2020,South West,Canemount,3500,16/20,25,16,9,384,109.375,218.75,388.8888889
2020,South West,Caney Creek,28000,12/15,47,20,27,1461,1120,1400,1037.037037
2020,South West,Caston Creek,27785,10/13,31,24,7,1684,591.1702128,1157.708333,3969.285714
2020,South West,Copiah County,6811,12/15,24,16,8,1448,219.7096774,425.6875,851.375
2020,South West,Marion County,7125,12/15,32,19,13,1373,296.875,375,548.0769231
2020,South West,Natchez State Park,2457,12/15,41,22,19,414,76.78125,111.6818182,129.3157895
2020,South West,Pearl River,6925,10/13,10,5,5,651,168.902439,1385,1385
2020,South West,Sandy Creek,16407,10/13,11,10,1,1374,1640.7,1640.7,16407
2020,South West,Tallahala,28120,12/15,30,15,15,1023,2556.363636,1874.666667,1874.666667
